name,description,department,dimentions,hastes,composition,available_membership,old_url_photo,photo
arranjo verde,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/6198916_orig.jpg,6198916_orig.jpg
flores brancas,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/9628503_orig.jpg,9628503_orig.jpg
flores amarelas,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/5008432_orig.jpg,5008432_orig.jpg
flores lilas,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/5498547_orig.jpg,5498547_orig.jpg
flores cactus,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/3893699_orig.jpg,3893699_orig.jpg
flores lilas,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/6767503_orig.jpg,6767503_orig.jpg
flores vermelhas 2,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/7684508_orig.jpg,7684508_orig.jpg
flores vermelhas 3,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,establishment ,http://www.alessandralima.com/uploads/4/5/3/1/45317385/2294219_orig.jpg,2294219_orig.jpg
flores verdes,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,elite,http://www.alessandralima.com/uploads/4/5/3/1/45317385/3374741_orig.jpg,3374741_orig.jpg
flores amarelas 2,inserir descrição charmosa aqui,decoração geral,dimsensões exemplo: 10cm x 40 cm,"exemplo: 10, 20",flores que estão inclusas aqui,essential,http://www.alessandralima.com/uploads/4/5/3/1/45317385/5126000_orig.jpg,5126000_orig.jpg
